IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
160013399,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Tuesday,01/05/2016 12:00:00 AM,23:15,BAYVIEW,"ARREST, BOOKED",3RD ST / EGBERT AV,-122.3949284758,37.7239748241609,"(37.7239748241609, -122.3949284758)",16001339964085
160013399,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,01/05/2016 12:00:00 AM,23:15,BAYVIEW,"ARREST, BOOKED",3RD ST / EGBERT AV,-122.3949284758,37.7239748241609,"(37.7239748241609, -122.3949284758)",16001339965015
160013402,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,01/05/2016 12:00:00 AM,20:30,CENTRAL,NONE,600 Block of TAYLOR ST,-122.41185703254,37.7883235449904,"(37.7883235449904, -122.41185703254)",16001340206244
160013418,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,01/05/2016 12:00:00 AM,23:30,MISSION,"ARREST, BOOKED",22ND ST / BRYANT ST,-122.409435617106,37.7559977339856,"(37.7559977339856, -122.409435617106)",16001341865016
160189188,NON-CRIMINAL,LOST PROPERTY,Wednesday,03/02/2016 12:00:00 AM,15:00,NORTHERN,NONE,1500 Block of SUTTER ST,-122.425883358148,37.7870798144443,"(37.7870798144443, -122.425883358148)",16018918871000
160013703,NON-CRIMINAL,"LICENSE PLATE, RECOVERED",Tuesday,01/05/2016 12:00:00 AM,19:45,INGLESIDE,NONE,200 Block of OGDEN AV,-122.415126543001,37.7360374466862,"(37.7360374466862, -122.415126543001)",16001370371012
160013719,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,01/06/2016 12:00:00 AM,09:00,INGLESIDE,"ARREST, BOOKED",GENEVA AV / PRAGUE ST,-122.431928011089,37.712767884821,"(37.712767884821, -122.431928011089)",16001371965016
160013725,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,01/06/2016 12:00:00 AM,08:10,CENTRAL,"ARREST, BOOKED",0 Block of MONTGOMERY ST,-122.402163713618,37.7895710255863,"(37.7895710255863, -122.402163713618)",16001372519090
160013822,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,01/06/2016 12:00:00 AM,09:21,INGLESIDE,"ARREST, BOOKED",MISSION ST / TRUMBULL ST,-122.429306728376,37.7307429169559,"(37.7307429169559, -122.429306728376)",16001382265010
160013872,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,01/05/2016 12:00:00 AM,23:59,TENDERLOIN,NONE,300 Block of EDDY ST,-122.413790972781,37.7838365565348,"(37.7838365565348, -122.413790972781)",16001387228150
160013888,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,01/06/2016 12:00:00 AM,09:46,INGLESIDE,"ARREST, BOOKED",MISSION ST / TRUMBULL ST,-122.429306728376,37.7307429169559,"(37.7307429169559, -122.429306728376)",16001388865016
160013913,SECONDARY CODES,DOMESTIC VIOLENCE,Wednesday,01/06/2016 12:00:00 AM,06:00,INGLESIDE,NONE,100 Block of HIGHLAND AV,-122.422067184937,37.7373623605213,"(37.7373623605213, -122.422067184937)",16001391315200
